Mapping parameters for Apostichopus parvimensis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 244): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Apostichopus,parvimensis,-43.25,-74.25,5407:134:1,0.32
Apostichopus,parvimensis,-43.25,-74.75,5407:134:2,0.38
Apostichopus,parvimensis,-43.75,-74.25,5407:134:3,0.24
Apostichopus,parvimensis,-43.75,-74.75,5407:134:4,0.33
Apostichopus,parvimensis,-44.75,-73.25,5407:143:3,0.23
Apostichopus,parvimensis,-44.75,-73.75,5407:143:4,0.21
Apostichopus,parvimensis,-44.25,-74.25,5407:144:1,0.21
Apostichopus,parvimensis,-44.25,-74.75,5407:144:2,0.28
Apostichopus,parvimensis,-44.75,-74.25,5407:144:3,0.22
Apostichopus,parvimensis,-44.75,-74.75,5407:144:4,0.26
Apostichopus,parvimensis,-45.25,-73.25,5407:353:1,0.20
Apostichopus,parvimensis,-45.25,-74.25,5407:354:1,0.22
Apostichopus,parvimensis,-45.25,-74.75,5407:354:2,0.26
Apostichopus,parvimensis,-45.75,-74.25,5407:354:3,0.20
Apostichopus,parvimensis,-45.75,-74.75,5407:354:4,0.24
Apostichopus,parvimensis,-47.25,-74.75,5407:374:2,0.21
Apostichopus,parvimensis,-46.25,-74.75,5407:364:2,0.23
Apostichopus,parvimensis,-46.75,-74.75,5407:364:4,0.22
Apostichopus,parvimensis,-45.75,-75.25,5407:455:3,0.24
Apostichopus,parvimensis,-47.25,-75.25,5407:475:1,0.22
Apostichopus,parvimensis,-46.25,-75.25,5407:465:1,0.22
Apostichopus,parvimensis,-46.75,-75.25,5407:465:3,0.24
Apostichopus,parvimensis,0.75,-79.75,7007:209:4,0.26
Apostichopus,parvimensis,0.75,-80.25,7008:100:3,0.28
Apostichopus,parvimensis,27.25,-113.75,7211:373:2,0.35
Apostichopus,parvimensis,29.25,-114.75,7211:394:2,0.37
Apostichopus,parvimensis,36.25,-121.25,7312:361:1,0.21
Apostichopus,parvimensis,36.25,-121.75,7312:361:2,0.36
Apostichopus,parvimensis,37.75,-123.25,7312:373:3,0.38
Apostichopus,parvimensis,38.25,-123.25,7312:383:1,0.30
Apostichopus,parvimensis,38.75,-123.75,7312:383:4,0.36
Apostichopus,parvimensis,39.25,-123.75,7312:393:2,0.30
Apostichopus,parvimensis,39.75,-123.75,7312:393:4,0.22
Apostichopus,parvimensis,40.25,-124.25,7412:104:1,0.33
Apostichopus,parvimensis,40.75,-124.25,7412:104:3,0.24
Apostichopus,parvimensis,42.75,-124.25,7412:124:3,0.23
Apostichopus,parvimensis,42.75,-124.75,7412:124:4,0.31
Apostichopus,parvimensis,43.25,-124.25,7412:134:1,0.28
Apostichopus,parvimensis,43.75,-124.25,7412:134:3,0.30
Apostichopus,parvimensis,-27.25,-70.75,5207:370:2,0.48
Apostichopus,parvimensis,-0.25,-80.25,5008:100:1,0.48
Apostichopus,parvimensis,-0.25,-80.75,5008:100:2,0.53
Apostichopus,parvimensis,-0.75,-80.25,5008:100:3,0.54
Apostichopus,parvimensis,-0.25,-90.25,5009:100:1,0.47
Apostichopus,parvimensis,-0.25,-90.75,5009:100:2,0.43
Apostichopus,parvimensis,-23.75,-70.25,5207:130:3,0.46
