Mapping parameters for Strongylocentrotus purpuratus (purple urchin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 1388): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Strongylocentrotus,purpuratus,22.75,-160.75,7216:120:4,0.01
Strongylocentrotus,purpuratus,23.25,-161.75,7216:131:2,0.01
Strongylocentrotus,purpuratus,23.75,-164.25,7216:134:3,0.01
Strongylocentrotus,purpuratus,23.75,-164.75,7216:134:4,0.01
Strongylocentrotus,purpuratus,24.75,-167.75,7216:247:4,0.01
Strongylocentrotus,purpuratus,24.75,-168.25,7216:248:3,0.01
Strongylocentrotus,purpuratus,25.25,-167.75,7216:457:2,0.01
Strongylocentrotus,purpuratus,25.25,-168.25,7216:458:1,0.01
Strongylocentrotus,purpuratus,25.75,-169.25,7216:459:3,0.01
Strongylocentrotus,purpuratus,25.25,-170.25,7217:350:1,0.01
Strongylocentrotus,purpuratus,25.25,-170.75,7217:350:2,0.01
Strongylocentrotus,purpuratus,25.75,-170.75,7217:350:4,0.01
Strongylocentrotus,purpuratus,25.25,-171.25,7217:351:1,0.01
Strongylocentrotus,purpuratus,25.75,-171.25,7217:351:3,0.01
Strongylocentrotus,purpuratus,25.75,-171.75,7217:351:4,0.01
Strongylocentrotus,purpuratus,25.75,-173.75,7217:353:4,0.01
Strongylocentrotus,purpuratus,26.25,-173.25,7217:363:1,0.01
Strongylocentrotus,purpuratus,26.25,-173.75,7217:363:2,0.01
Strongylocentrotus,purpuratus,26.25,-174.25,7217:364:1,0.01
Strongylocentrotus,purpuratus,26.25,-174.75,7217:364:2,0.01
Strongylocentrotus,purpuratus,30.25,-112.75,7311:102:2,0.05
Strongylocentrotus,purpuratus,30.75,-112.75,7311:102:4,0.04
Strongylocentrotus,purpuratus,30.25,-113.25,7311:103:1,0.05
Strongylocentrotus,purpuratus,30.25,-113.75,7311:103:2,0.03
Strongylocentrotus,purpuratus,30.75,-113.25,7311:103:3,0.04
Strongylocentrotus,purpuratus,30.75,-113.75,7311:103:4,0.04
Strongylocentrotus,purpuratus,30.25,-114.25,7311:104:1,0.05
Strongylocentrotus,purpuratus,30.75,-114.25,7311:104:3,0.05
Strongylocentrotus,purpuratus,30.75,-114.75,7311:104:4,0.04
Strongylocentrotus,purpuratus,31.25,-113.25,7311:113:1,0.03
Strongylocentrotus,purpuratus,31.25,-113.75,7311:113:2,0.03
Strongylocentrotus,purpuratus,31.75,-113.75,7311:113:4,0.12
Strongylocentrotus,purpuratus,31.25,-114.25,7311:114:1,0.03
Strongylocentrotus,purpuratus,31.25,-114.75,7311:114:2,0.03
